children,adr,adults,stays_in_week_nights,agent,reserved_room_type
0.0,75.0,1,1,304.0,0
0.0,98.0,2,2,240.0,0
0.0,98.0,2,2,240.0,0
0.0,103.0,2,2,303.0,2
0.0,82.0,2,3,240.0,0
0.0,105.5,2,3,15.0,3
0.0,123.0,2,4,240.0,4
0.0,145.0,2,4,240.0,3
0.0,97.0,2,4,240.0,3
1.0,154.77,2,4,241.0,6
children,adr,adults,stays_in_week_nights,agent,reserved_room_type
0.0,75.0,1,1,304.0,0
0.0,98.0,2,2,240.0,0
0.0,98.0,2,2,240.0,0
0.0,103.0,2,2,303.0,2
0.0,82.0,2,3,240.0,0
0.0,105.5,2,3,15.0,3
0.0,123.0,2,4,240.0,4
0.0,145.0,2,4,240.0,3
0.0,97.0,2,4,240.0,3
1.0,154.77,2,4,241.0,6
children,adr,adults,stays_in_week_nights,agent,reserved_room_type
0.0,75.0,1,1,304.0,0
0.0,98.0,2,2,240.0,0
0.0,98.0,2,2,240.0,0
0.0,103.0,2,2,303.0,2
0.0,82.0,2,3,240.0,0
0.0,105.5,2,3,15.0,3
0.0,123.0,2,4,240.0,4
0.0,145.0,2,4,240.0,3
0.0,97.0,2,4,240.0,3
1.0,154.77,2,4,241.0,6
children,adr,adults,stays_in_week_nights,agent,reserved_room_type
0.0,75.0,1,1,304.0,0
0.0,98.0,2,2,240.0,0
0.0,98.0,2,2,240.0,0
0.0,103.0,2,2,303.0,2
0.0,82.0,2,3,240.0,0
0.0,105.5,2,3,15.0,3
0.0,123.0,2,4,240.0,4
0.0,145.0,2,4,240.0,3
0.0,97.0,2,4,240.0,3
1.0,154.77,2,4,241.0,6
children,adr,adults,stays_in_week_nights,agent,reserved_room_type
0.0,75.0,1,1,304.0,0
0.0,98.0,2,2,240.0,0
0.0,98.0,2,2,240.0,0
0.0,103.0,2,2,303.0,2
0.0,82.0,2,3,240.0,0
0.0,105.5,2,3,15.0,3
0.0,123.0,2,4,240.0,4
0.0,145.0,2,4,240.0,3
0.0,97.0,2,4,240.0,3
1.0,154.77,2,4,241.0,6
children,adr,adults,stays_in_week_nights,agent,reserved_room_type
0.0,75.0,1,1,304.0,0
0.0,98.0,2,2,240.0,0
0.0,98.0,2,2,240.0,0
0.0,103.0,2,2,303.0,2
0.0,82.0,2,3,240.0,0
0.0,105.5,2,3,15.0,3
0.0,123.0,2,4,240.0,4
0.0,145.0,2,4,240.0,3
0.0,97.0,2,4,240.0,3
1.0,154.77,2,4,241.0,6
children,adr,adults,stays_in_week_nights,agent,reserved_room_type
0.0,75.0,1,1,304.0,0
0.0,98.0,2,2,240.0,0
0.0,98.0,2,2,240.0,0
0.0,103.0,2,2,303.0,2
0.0,82.0,2,3,240.0,0
0.0,105.5,2,3,15.0,3
0.0,123.0,2,4,240.0,4
0.0,145.0,2,4,240.0,3
0.0,97.0,2,4,240.0,3
1.0,154.77,2,4,241.0,6
children,adr,adults,stays_in_week_nights,agent,reserved_room_type
0.0,75.0,1,1,304.0,0
0.0,98.0,2,2,240.0,0
0.0,98.0,2,2,240.0,0
0.0,103.0,2,2,303.0,2
0.0,82.0,2,3,240.0,0
0.0,105.5,2,3,15.0,3
0.0,123.0,2,4,240.0,4
0.0,145.0,2,4,240.0,3
0.0,97.0,2,4,240.0,3
1.0,154.77,2,4,241.0,6
children,adr,adults,stays_in_week_nights,agent,reserved_room_type
0.0,75.0,1,1,304.0,0
0.0,98.0,2,2,240.0,0
0.0,98.0,2,2,240.0,0
0.0,103.0,2,2,303.0,2
0.0,82.0,2,3,240.0,0
0.0,105.5,2,3,15.0,3
0.0,123.0,2,4,240.0,4
0.0,145.0,2,4,240.0,3
0.0,97.0,2,4,240.0,3
1.0,154.77,2,4,241.0,6
children,adr,adults,stays_in_week_nights,agent,reserved_room_type
0.0,75.0,1,1,304.0,0
0.0,98.0,2,2,240.0,0
0.0,98.0,2,2,240.0,0
0.0,103.0,2,2,303.0,2
0.0,82.0,2,3,240.0,0
0.0,105.5,2,3,15.0,3
0.0,123.0,2,4,240.0,4
0.0,145.0,2,4,240.0,3
0.0,97.0,2,4,240.0,3
1.0,154.77,2,4,241.0,6
children,adr,adults,stays_in_week_nights,agent,reserved_room_type
0.0,75.0,1,1,304.0,0
0.0,98.0,2,2,240.0,0
0.0,98.0,2,2,240.0,0
0.0,103.0,2,2,303.0,2
0.0,82.0,2,3,240.0,0
0.0,105.5,2,3,15.0,3
0.0,123.0,2,4,240.0,4
0.0,145.0,2,4,240.0,3
0.0,97.0,2,4,240.0,3
1.0,154.77,2,4,241.0,6
children,adr,adults,stays_in_week_nights,agent,reserved_room_type
0.0,75.0,1,1,304.0,0
0.0,98.0,2,2,240.0,0
0.0,98.0,2,2,240.0,0
0.0,103.0,2,2,303.0,2
0.0,82.0,2,3,240.0,0
0.0,105.5,2,3,15.0,3
0.0,123.0,2,4,240.0,4
0.0,145.0,2,4,240.0,3
0.0,97.0,2,4,240.0,3
1.0,154.77,2,4,241.0,6
